epoch,loss
1,-1971.456695170342
2,-3866.634558569027
3,-4812.367613973497
4,-5137.15829583663
5,-5327.951233682753
6,-5384.454960690269
7,-5520.0192840189875
8,-5596.236970925633
9,-5677.121730369858
10,-5739.785669254351
11,-5819.013511174841
12,-5819.025953075554
13,-5865.916293759889
14,-5904.444385383703
15,-5988.289909266218
16,-5978.870722903481
17,-5998.628727007515
18,-6012.380303105221
19,-6101.497589497627
20,-6145.7761508603635
21,-6190.8952667622625
22,-6249.581388449367
23,-6285.489776997627
24,-6361.157078223892
25,-6423.505160947389
26,-6477.766057654272
27,-6498.833514636076
28,-6537.320343403877
29,-6564.866785749605
30,-6600.035854677611
31,-6639.537566752373
32,-6666.763047616693
33,-6659.955399525316
34,-6686.619431121439
35,-6732.986278678797
36,-6749.007033722311
37,-6765.278209058544
38,-6773.752818433544
39,-6797.622966524921
40,-6823.545570856409
41,-6832.538772003561
42,-6827.279278332674
43,-6854.4548432555375
44,-6882.172412727453
45,-6894.556078174446
46,-6903.466018097311
47,-6927.883578916139
48,-6926.605122626583
49,-6951.511663123022
50,-6964.148462223101
51,-6982.8469269185125
52,-6975.872533870649
53,-7006.69268567049
54,-7012.420428698576
55,-7020.1462495055375
56,-7043.970418809336
57,-7032.084367583069
58,-7076.921807011471
59,-7088.097371934336
60,-7105.518029321598
61,-7097.834942395174
62,-7141.689502571203
63,-7150.541701691061
64,-7156.235302116297
65,-7171.151713310917
66,-7193.698359622231
67,-7212.78622552413
68,-7194.850777541535
69,-7204.189477848101
70,-7224.291355567642
71,-7256.2927462420885
72,-7251.8039519877375
73,-7276.335078372231
74,-7293.3127534117875
75,-7316.947104924841
76,-7336.341407486155
77,-7321.875568631329
78,-7337.820751335047
79,-7378.300138449367
80,-7354.931238874605
81,-7382.149370797073
82,-7389.785193334652
83,-7414.326555083069
84,-7413.7102081685125
85,-7426.671442345728
86,-7463.123986352848
87,-7438.77667004549
88,-7436.901867830301
89,-7481.515328322785
90,-7506.469071400316
91,-7525.882126433939
92,-7520.714312203323
93,-7542.690985957279
94,-7535.78057629549
95,-7549.793160354035
96,-7587.431183247627
97,-7574.406398338608
98,-7634.798389289953
99,-7667.514772053007
100,-7662.741037875791
101,-7664.923519086235
102,-7658.409142602848
103,-7653.352013696598
104,-7675.578260977057
105,-7711.578106457674
106,-7696.420539952532
107,-7683.446171627769
108,-7746.125803500791
109,-7796.661590189873
110,-7761.327191702927
111,-7718.290669501583
112,-7671.578508208069
113,-7773.561560522152
114,-7781.5778777689875
115,-7824.917820411392
116,-7840.454905063291
117,-7833.716234424446
118,-7843.873924545095
119,-7861.184415793117
120,-7871.581036145174
121,-7917.599331240111
122,-7869.3210480122625
123,-7876.216945213608
124,-7905.179143591772
125,-7937.626180528086
126,-7911.5588657041135
127,-7954.8923308939875
128,-7953.553105221519
129,-8003.635717464399
130,-7952.425737984573
131,-8039.672171677215
132,-7934.491136768196
133,-7968.725048210047
134,-7997.002039655855
135,-8043.9665249208865
136,-8032.213100771361
137,-8036.951641613924
138,-8007.143987341772
139,-8005.008399673655
140,-8074.7468292622625
141,-8043.132466376583
142,-8007.843626384493
143,-8059.0739653382125
144,-8066.78008801424
145,-8076.746408969541
146,-8075.174798506725
147,-8070.342075009889
148,-8139.672684681566
149,-8212.246983781646
150,-8197.913314626187
151,-8124.3225004944625
152,-8126.695287776899
153,-8212.856364962421
154,-8264.297598150712
155,-8204.27265872231
156,-8229.286312054985
157,-8272.683871884889
158,-8265.819181418117
159,-8199.686739764637
160,-8212.778011273735
161,-8199.077241149129
162,-8303.103521805775
163,-8304.093255537975
164,-8248.242960096915
165,-8150.88827630538
166,-8059.628090387659
167,-8173.384116643591
168,-8288.129419254352
169,-8320.275056863133
170,-8337.537146459652
171,-8293.691820361946
172,-8286.008646904667
173,-8326.385698922073
174,-8396.364912974683
175,-8415.25587173655
176,-8356.534878115111
177,-8379.874060522152
178,-8352.6020384197
179,-8397.399067939083
180,-8395.540187401108
181,-8426.179539161392
182,-8417.934693928006
183,-8450.947302709652
184,-8452.937054984177
185,-8355.10364542128
186,-8349.453767800633
187,-8389.61193384098
188,-8324.824163123023
189,-8325.740660848496
190,-8210.656800089004
191,-8392.077587272548
192,-8501.391453223892
193,-8484.259098101265
194,-8479.19647448576
195,-8453.989554489715
196,-8454.727514339398
197,-8501.913852353639
198,-8572.313043908227
199,-8610.137967266613
200,-8591.21467068829
201,-8541.184421973892
202,-8512.77344986155
203,-8586.74962915348
204,-8568.388276305379
205,-8499.880228935917
206,-8529.683309434335
207,-8585.38691653481
208,-8562.135902887658
209,-8587.75877670095
210,-8605.498887460442
211,-8488.040861105617
212,-8502.98669897152
213,-8605.148931962025
214,-8563.379116396361
215,-8581.649920886075
216,-8457.851723200158
217,-8591.223657535602
218,-8575.951827037183
