epoch,train_loss,val_loss
1,-5686.918637667088,
2,-6918.083414243136,
3,-7158.160277614704,
4,-7287.330879696532,
5,-7366.62007767341,-7574.7803955078125
6,-7452.6487677248915,
7,-7532.174192219111,
8,-7604.0514275876085,
9,-7642.615914581828,
10,-7678.696856371929,-7881.109313964844
11,-7720.919543668714,
12,-7743.574122787211,
13,-7771.8462055184245,
14,-7803.085502845014,
15,-7820.587213240607,-8029.763488769531
16,-7829.378496996929,
17,-7847.135347046604,
18,-7867.905665755961,
19,-7888.280414559248,
20,-7902.351201228324,-8119.177032470703
21,-7908.279429529443,
22,-7918.211171762103,
23,-7939.508156837066,
24,-7951.234976178649,
25,-7964.493547913656,-8156.405426025391
26,-7977.482735165282,
27,-7978.2184790462425,
28,-7995.467810129155,
29,-8003.660836456828,
30,-8013.809254199783,-8227.056884765625
31,-8031.34958115065,
32,-8038.782319702854,
33,-8038.334407740245,
34,-8053.495512328396,
35,-8065.346939351517,-8268.830657958984
36,-8075.497186032334,
37,-8083.863374390354,
38,-8097.934680387464,
39,-8107.042723198158,
40,-8114.601418555816,-8323.473022460938
41,-8126.282472114342,
42,-8129.785881615788,
43,-8141.804642341041,
44,-8159.095471685332,
45,-8172.856642882948,-8399.050476074219
46,-8174.932253093389,
47,-8188.331904240426,
48,-8196.076163407695,
49,-8197.844379402999,
50,-8218.280360932984,-8447.292175292969
51,-8236.470087834176,
52,-8237.874765737897,
53,-8227.635967982298,
54,-8260.21329987807,
55,-8270.004287278722,-8466.449279785156
56,-8280.060769847363,
57,-8299.776516776554,
58,-8309.929509686597,
59,-8319.488992503613,
60,-8323.357867819725,-8505.373168945312
61,-8338.507538723808,
62,-8360.359047597543,
63,-8361.434417901011,
64,-8374.139033146676,
65,-8380.852725343208,-8574.313903808594
66,-8379.251165665642,
67,-8403.2548263638,
68,-8412.847029669436,
69,-8418.489799720015,
70,-8430.98823044617,-8606.224609375
71,-8424.517916817196,
72,-8434.608104904262,
73,-8420.415129380419,
74,-8459.628640941113,
75,-8453.279398482659,-8621.960998535156
76,-8463.612112761923,
77,-8476.925357884755,
78,-8493.056352736632,
79,-8497.74901779263,
80,-8538.970432171243,-8684.405944824219
81,-8531.672625767702,
82,-8546.818635973626,
83,-8514.672241916547,
84,-8544.730931629336,
85,-8569.19139496026,-8690.151733398438
86,-8559.390354046243,
87,-8557.396128748194,
88,-8554.682645411849,
89,-8585.043160675577,
90,-8561.503274024566,-8712.336181640625
91,-8564.312612897398,
92,-8605.219195944725,
93,-8617.17185806539,
94,-8627.671592756504,
95,-8625.979712337428,-8798.143310546875
96,-8627.782068506142,
97,-8639.466683977602,
98,-8657.595053964957,
99,-8642.639332324783,
100,-8682.506576273483,-8940.636352539062
101,-8663.627173274928,
102,-8678.48432419617,
103,-8705.651886515534,
104,-8701.55861068461,
105,-8725.823885702674,-8982.622924804688
106,-8669.321407604768,
107,-8731.942111858743,
108,-8707.182092214596,
109,-8752.256028721098,
110,-8710.059954163657,-8996.789672851562
111,-8754.226020592485,
112,-8729.897618993858,
113,-8726.166845420881,
114,-8718.476297191113,
115,-8776.896777908238,-8995.861938476562
116,-8751.357862174855,
117,-8784.131485955564,
118,-8750.072931719653,
119,-8777.740872245304,
120,-8778.56646834357,-9011.428833007812
121,-8777.377212789017,
122,-8796.402908236994,
123,-8822.072045475072,
124,-8808.511244580925,
125,-8811.017205563583,-9071.128540039062
126,-8828.960198022038,
127,-8828.93645569906,
128,-8851.914401192196,
129,-8829.902682442196,
130,-8869.031108878251,-9077.888488769531
131,-8840.61433119581,
132,-8839.481225162572,
133,-8884.288548816836,
134,-8879.941790101157,
135,-8886.836389089596,-9164.716674804688
136,-8910.885160765896,
137,-8890.675126445087,
138,-8829.314848265896,
139,-8917.43162369039,
140,-8916.081669978324,-9119.475952148438
141,-8883.560388818642,
142,-8872.820075415462,
143,-8914.271806132587,
144,-8942.052835982659,
145,-8944.772240787572,-9219.019226074219
146,-8891.701442828757,
147,-8899.256147263368,
148,-8969.066976381864,
149,-8941.122933977602,
150,-8957.632552835983,-9240.635375976562
151,-8973.740556132587,
152,-8966.063634618858,
153,-8962.908688583815,
154,-8969.658242639089,
155,-8992.500039514089,-8997.23388671875
156,-8906.132665733381,
157,-8949.945052835983,
158,-9000.460785088511,
159,-8993.542799403902,
160,-8957.844201589596,-9189.889587402344
161,-8980.031577402457,
162,-9015.798489432804,
163,-9002.749695177023,
164,-9013.083233607298,
165,-9035.736632947977,-9181.639526367188
166,-8997.523070583453,
167,-8965.629510251083,
168,-9053.278709808526,
169,-9028.601991510115,
170,-9059.369338195447,-9209.489562988281
171,-9056.526852646315,
172,-9051.064221685332,
173,-9014.260030933887,
174,-9050.944042404262,
175,-9070.86145231214,-9302.332580566406
176,-9082.65619919617,
177,-9083.375378206287,
178,-9086.00383286669,
179,-9074.919046920159,
180,-9102.263530753251,-9278.288391113281
181,-9044.045424268425,
182,-9059.337563222543,
183,-9066.544667855853,
184,-9076.472684474349,
185,-9067.702797597543,-9235.308837890625
186,-9047.582245755058,
187,-9103.053473852962,
188,-9095.850015805636,
