epoch,train_loss,val_loss
1,-5053.1901767267655,
2,-6461.019836072976,
3,-6783.388014247652,
4,-6957.080286985188,
5,-7079.077800419978,-7218.31640625
6,-7206.553979068823,
7,-7286.360955563584,
8,-7387.505114252168,
9,-7487.454872087247,
10,-7566.412693619039,-7748.239013671875
11,-7605.33496658237,
12,-7643.291368429372,
13,-7675.369837766438,
14,-7699.5008749548415,
15,-7721.5684609826585,-7927.341461181641
16,-7738.227316090138,
17,-7770.421214550217,
18,-7788.015083092486,
19,-7802.898203237897,
20,-7821.615186393606,-8028.4141845703125
21,-7842.52493621297,
22,-7858.208583589234,
23,-7862.94782164469,
24,-7883.784933277638,
25,-7889.312737084538,-8083.446441650391
26,-7900.073324038114,
27,-7911.729743384212,
28,-7924.152194160946,
29,-7934.092194838331,
30,-7941.4238986858745,-8136.555847167969
31,-7956.696893063584,
32,-7962.202269802204,
33,-7972.192049765174,
34,-7988.334266618497,
35,-7991.441925578035,-8210.358001708984
36,-8003.064628115968,
37,-8013.390269373193,
38,-8026.573606281611,
39,-8037.617314509574,
40,-8045.297202402457,-8265.174987792969
41,-8066.125663272218,
42,-8081.703723356214,
43,-8095.949379628793,
44,-8108.432301074783,
45,-8127.061492390715,-8332.9765625
46,-8149.623134370484,
47,-8156.955659546604,
48,-8167.507973378793,
49,-8189.438168917088,
50,-8204.483773821352,-8446.474243164062
51,-8244.568949263909,
52,-8264.507377845015,
53,-8266.109154850072,
54,-8279.18597870755,
55,-8313.690869987355,-8550.130310058594
56,-8325.759378951409,
57,-8355.962636605853,
58,-8372.295048884574,
59,-8402.643896202131,
60,-8420.332923139451,-8694.077941894531
61,-8444.802401327674,
62,-8508.852793081647,
63,-8483.48480118768,
64,-8521.34556764812,
65,-8596.952865335983,-8835.51220703125
66,-8585.264219427385,
67,-8641.099507767341,
68,-8627.713590588874,
69,-8694.636905030708,
70,-8712.112615155347,-8974.865051269531
71,-8716.753319183526,
72,-8722.900734962066,
73,-8797.768328892702,
74,-8823.672383038294,
75,-8865.358641166908,-9183.597534179688
76,-8905.082511063945,
77,-8868.175967530708,
78,-8850.642843433887,
79,-8938.738010296243,
80,-8996.77931380961,-9117.135070800781
81,-8967.820696351157,
82,-9098.872358200868,
83,-9008.726765715317,
84,-9055.903021134392,
85,-9036.098164288294,-9341.393493652344
86,-9151.398324602602,
87,-9223.828983020232,
88,-9169.851240742413,
89,-9233.840363078034,
90,-9255.46301481214,-9497.578735351562
91,-9254.020044933164,
92,-9238.681499503251,
93,-9360.129075596098,
94,-9367.512356620304,
95,-9320.169035630419,-9536.601440429688
96,-9437.335305274566,
97,-9422.941564306358,
98,-9444.944618180996,
99,-9358.72658507948,
100,-9385.729266392702,-9652.469543457031
101,-9476.947542223626,
102,-9428.184717079119,
103,-9506.763942828757,
104,-9511.880198925217,
105,-9588.097368361632,-9819.559326171875
106,-9581.38377212789,
107,-9620.620371206647,
108,-9605.978724485189,
109,-9666.196379380419,
110,-9599.868022940751,-10094.32666015625
111,-9750.624452447615,
112,-9586.970014450868,
113,-9773.472176436055,
114,-9690.009528540462,
115,-9710.595212021315,-10248.731750488281
116,-9845.193240832732,
117,-9706.5166580112,
118,-9768.065678061777,
119,-9880.359832234466,
120,-9698.300024837428,-10130.71923828125
121,-9777.086716492053,
122,-9914.861299900651,
123,-9816.267730536489,
124,-9913.102826950868,
125,-9911.411934384032,-10245.588134765625
126,-9908.074715498555,
127,-9999.37013976698,
128,-9980.832206240968,
129,-9969.898968117775,
130,-10007.485893470015,-10183.247192382812
131,-10006.245630870664,
132,-9896.315040191474,
133,-9871.26354768786,
134,-9903.985560422689,
135,-9942.615923049132,-10437.007202148438
136,-10058.362948202674,
137,-10021.272940751445,
138,-10064.511504244942,
139,-10035.164954389451,
140,-10072.666726878613,-10400.687316894531
141,-10096.70794571893,
142,-10052.999537120664,
143,-10056.007168984826,
144,-10149.596961930996,
145,-10148.912357749277,-10717.629455566406
146,-10137.587681764811,
147,-10151.27634460802,
148,-10155.587111632947,
149,-10084.409405482298,
150,-10239.80462540643,-10325.770385742188
151,-10041.865567422326,
152,-10125.572847046604,
153,-10205.469128206287,
154,-10056.57618880961,
155,-10150.335796378251,-10651.431213378906
156,-10300.797354813945,
157,-10199.065898211706,
158,-10226.804196396315,
159,-10146.47057329299,
160,-10298.379267521676,-10652.335266113281
161,-10272.010403495304,
162,-10199.023042359104,
163,-10314.835627032153,
164,-10338.605434880781,
165,-10317.696825325145,-10574.843322753906
166,-10287.244247877528,
167,-10299.855062319364,
168,-10419.846894192558,
169,-10377.740426300577,
170,-10290.554862490968,-10631.911254882812
171,-10320.047134664017,
172,-10311.29887892883,
173,-10391.470268470015,
174,-10441.703819319004,
175,-10334.910782830564,-10663.060485839844
176,-10326.97853820448,
177,-10364.192348943281,
178,-10524.618610007225,
179,-10423.678112581287,
180,-10427.033112807081,-10802.562683105469
181,-10452.216588014811,
182,-10564.977443099711,
183,-10417.788283507947,
184,-10491.188216898483,
185,-10612.905437138728,-10899.7509765625
186,-10421.255616645592,
187,-10500.028924313583,
188,-10450.9883376987,
189,-10599.521715814668,
190,-10508.088415597904,-10908.297729492188
191,-10551.143994987355,
192,-10630.496641302385,
193,-10518.680076996026,
194,-10526.670717801662,
195,-10524.354898618136,-10912.642639160156
196,-10541.497843659683,
197,-10479.962580157153,
198,-10680.304794752528,
199,-10510.307933300217,
200,-10496.288921378251,-10952.159729003906
201,-10560.782017702311,
202,-10551.804162527096,
203,-10538.168493722904,
204,-10616.597210305275,
205,-10559.97279172688,-10680.745422363281
206,-10537.932284140174,
207,-10431.149860007225,
208,-10502.930974530347,
209,-10704.12213805094,
210,-10458.663802835983,-10876.868347167969
211,-10570.907565254696,
212,-10628.744930906792,
